
Possible line matches for the gamma energy 107 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
332.100000	Does Not	Exist	3490.830000	16  1		3158.730000	13  -1

Possible line matches for the gamma energy 339 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
337.599000	  0.064760	  0.120000	1770.187000	5  1		1432.588000	5  1
338.910000	Does Not	Exist	1836.610000	0  1		1497.700000	0  1
339.380000	Does Not	Exist	1899.300000	0  1		1559.920000	4  -1
340.420000	Does Not	Exist	1900.340000	2  1		1559.920000	4  -1
338.410000	Does Not	Exist	2039.800000	0  1		1701.390000	4  1
338.311000	Does Not	Exist	2113.740000	2  1		1775.429000	2  1
339.420000	Does Not	Exist	2176.030000	1  1		1836.610000	0  1
339.756000	Does Not	Exist	2251.300000	9  -1		1911.544000	6  1
337.550000	Does Not	Exist	2410.850000	4  1		2073.300000	7  1
337.770000	Does Not	Exist	2418.000000	6  -1		2080.230000	4  1
337.790000	Does Not	Exist	2475.270000	9  -1		2137.480000	7  -1
339.610000	  0.135600	  0.050000	2533.740000	-1  0		2194.130000	10  1
339.230000	Does Not	Exist	2569.000000	2  0		2229.770000	2  1
337.580000	Does Not	Exist	2637.480000	2  -1		2299.900000	0  1
337.910000	Does Not	Exist	2744.100000	0  1		2406.190000	2  1
338.780000	Does Not	Exist	2850.300000	2  1		2511.520000	2  0
339.610000	  0.135600	  0.050000	2955.690000	12  -1		2616.080000	10  -1

Possible line matches for the gamma energy 381 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
382.036000	  0.054870	  0.040000	1645.814000	4  1		1263.778000	4  1
380.239000	Does Not	Exist	1911.544000	6  1		1531.305000	2  1
381.020000	Does Not	Exist	2137.480000	7  -1		1756.460000	8  1
381.956000	Does Not	Exist	2293.500000	3  1		1911.544000	6  1
379.990000	  0.539400	  0.035000	2453.290000	9  1		2073.300000	7  1
379.510000	Does Not	Exist	2459.740000	2  1		2080.230000	4  1
382.131000	Does Not	Exist	2568.000000	7  -1		2185.869000	4  -1
381.990000	Does Not	Exist	2569.000000	2  0		2187.010000	1  1
380.920000	Does Not	Exist	2686.700000	2  0		2305.780000	3  1
380.280000	Does Not	Exist	2949.280000	2  1		2569.000000	2  0
381.410000	Does Not	Exist	3158.730000	13  -1		2777.320000	14  1

Possible line matches for the gamma energy 408 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
407.903000	Does Not	Exist	1404.160000	5  -1		996.257000	2  1
409.049000	Does Not	Exist	1650.340000	0  1		1241.291000	1  -1
409.262000	  0.006135	  0.007480	1660.903000	3  1		1251.641000	3  -1
407.840000	Does Not	Exist	1826.000000	4  -1		1418.160000	2  1
406.691000	Does Not	Exist	2080.791000	3  -1		1674.100000	7  -1
409.190000	Does Not	Exist	2309.530000	2  1		1900.340000	2  1
408.990000	Does Not	Exist	2482.290000	11  -1		2073.300000	7  1
409.470000	Does Not	Exist	2585.500000	0  1		2176.030000	1  1
407.710000	Does Not	Exist	2637.480000	2  -1		2229.770000	2  1
408.080000	Does Not	Exist	2744.100000	0  1		2336.020000	3  -1
407.730000	Does Not	Exist	3027.260000	14  1		2619.530000	10  -1

Possible line matches for the gamma energy 412 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
411.574000	Does Not	Exist	1826.000000	4  -1		1414.426000	1  -1
411.595000	Does Not	Exist	1942.900000	0  1		1531.305000	2  1
413.150000	Does Not	Exist	1973.070000	2  1		1559.920000	4  -1
412.397000	Does Not	Exist	2073.300000	7  1		1660.903000	3  1
412.350000	Does Not	Exist	2113.740000	2  1		1701.390000	4  1
413.003000	Does Not	Exist	2183.190000	8  -1		1770.187000	5  1
411.581000	Does Not	Exist	2187.010000	1  1		1775.429000	2  1
412.410000	Does Not	Exist	2249.020000	3  0		1836.610000	0  1
412.756000	  1.000000	  0.000000	2324.300000	-1  0		1911.544000	6  1
412.930000	Does Not	Exist	2386.000000	4  1		1973.070000	2  1
412.790000	Does Not	Exist	2453.290000	9  1		2040.500000	9  -1
