Possible line matches for the gamma energy 258.158 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
895.729000	Does Not	Exist	2381.400000	-1  0		1485.671000	5  -1
895.910000	Does Not	Exist	2386.300000	-1  0		1490.390000	7  1
894.674000	Does Not	Exist	2413.100000	-1  0		1518.426000	5  -1
895.407000	Does Not	Exist	2469.700000	-1  0		1574.293000	4  1
894.077000	Does Not	Exist	2469.700000	-1  0		1575.623000	6  -1
894.985000	Does Not	Exist	2529.400000	-1  0		1634.415000	5  1
895.730000	Does Not	Exist	2562.000000	7  1		1666.270000	0  1
894.695000	Does Not	Exist	2565.200000	-1  0		1670.505000	8  1
894.462000	Does Not	Exist	2622.780000	12  1		1728.318000	2  1
894.682000	Does Not	Exist	2623.000000	6  1		1728.318000	2  1
895.884000	Does Not	Exist	2641.600000	-1  0		1745.716000	1  1
895.119000	Does Not	Exist	2647.000000	-1  0		1751.881000	6  1
895.630000	Does Not	Exist	2663.000000	0  1		1767.370000	6  1
895.870000	Does Not	Exist	2800.000000	-1  0		1904.130000	-1  0
895.609000	Does Not	Exist	2847.000000	7  1		1951.391000	-1  0
896.032000	Does Not	Exist	2859.630000	13  1		1963.598000	5  -1
894.120000	Does Not	Exist	2880.000000	-1  0		1985.880000	8  1
894.200000	Does Not	Exist	2997.000000	-1  0		2102.800000	3  -1
Possible line matches for the gamma energy 912.208 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
911.970000	Does Not	Exist	1833.250000	5  -1		921.280000	8  1
913.109000	  0.249900	  0.001640	1974.100000	4  -1		1060.991000	4  1
911.572000	Does Not	Exist	2269.500000	-1  0		1357.928000	3  -1
912.599000	Does Not	Exist	2398.270000	10  1		1485.671000	5  -1
913.010000	Does Not	Exist	2403.400000	-1  0		1490.390000	7  1
911.428000	Does Not	Exist	2482.340000	12  -1		1570.912000	3  -1
912.788000	Does Not	Exist	2483.700000	-1  0		1570.912000	3  -1
912.677000	Does Not	Exist	2488.300000	-1  0		1575.623000	6  -1
913.180000	Does Not	Exist	2800.000000	-1  0		1886.820000	4  1
912.330000	Does Not	Exist	2800.000000	-1  0		1887.670000	7  1
912.870000	Does Not	Exist	2817.000000	12  1		1904.130000	-1  0
912.800000	Does Not	Exist	2959.800000	-1  0		2047.000000	-1  0
911.459000	Does Not	Exist	2965.000000	1  1		2053.541000	5  -1
911.640000	Does Not	Exist	3012.300000	-1  0		2100.660000	9  -1
911.700000	Does Not	Exist	3040.300000	-1  0		2128.600000	1  -1
912.519000	Does Not	Exist	3061.200000	1  1		2148.681000	2  0
Possible line matches for the gamma energy 1007.02 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1007.259000	  0.072500	  0.004100	1895.420000	2  1		888.161000	2  1
1006.947000	Does Not	Exist	2189.710000	2  1		1182.763000	5  1
1007.228000	Does Not	Exist	2283.000000	5  1		1275.772000	1  -1
1006.485000	Does Not	Exist	2330.950000	11  -1		1324.465000	6  1
1006.320000	Does Not	Exist	2381.400000	-1  0		1375.080000	10  1
1007.757000	Does Not	Exist	2398.270000	10  1		1390.513000	5  -1
1007.273000	Does Not	Exist	2537.400000	1  0		1530.127000	6  -1
1007.185000	Does Not	Exist	2641.600000	-1  0		1634.415000	5  1
1006.120000	Does Not	Exist	2788.800000	-1  0		1782.680000	2  1
1007.440000	Does Not	Exist	2815.000000	1  0		1807.560000	8  -1
1006.514000	Does Not	Exist	2847.000000	7  1		1840.486000	3  1
1007.914000	Does Not	Exist	2848.400000	-1  0		1840.486000	3  1
1007.819000	Does Not	Exist	2859.630000	13  1		1851.811000	4  -1
1006.740000	Does Not	Exist	2989.200000	-1  0		1982.460000	2  1
1007.659000	Does Not	Exist	3061.200000	1  1		2053.541000	5  -1
1006.800000	Does Not	Exist	3085.800000	-1  0		2079.000000	6  1
Possible line matches for the gamma energy 1010.08 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1010.108000	Does Not	Exist	1275.772000	1  -1		265.664000	4  1
1010.959000	Does Not	Exist	2071.950000	4  0		1060.991000	4  1
1010.974000	Does Not	Exist	2529.400000	-1  0		1518.426000	5  -1
1009.707000	Does Not	Exist	2584.000000	-1  0		1574.293000	4  1
1009.804000	Does Not	Exist	2647.000000	-1  0		1637.196000	1  -1
1010.804000	Does Not	Exist	2648.000000	-1  0		1637.196000	1  -1
1009.080000	Does Not	Exist	2647.000000	-1  0		1637.920000	7  -1
1010.080000	Does Not	Exist	2648.000000	-1  0		1637.920000	7  -1
1010.095000	Does Not	Exist	2680.600000	-1  0		1670.505000	8  1
1009.284000	Does Not	Exist	2755.000000	8  1		1745.716000	1  1
1010.620000	Does Not	Exist	2777.990000	13  -1		1767.370000	6  1
1009.440000	Does Not	Exist	2817.000000	12  1		1807.560000	8  -1
1010.640000	Does Not	Exist	2818.200000	-1  0		1807.560000	8  -1
1009.689000	Does Not	Exist	2861.500000	-1  0		1851.811000	4  -1
1009.120000	Does Not	Exist	2919.550000	14  -1		1910.430000	3  -1
1010.350000	Does Not	Exist	2950.000000	-1  0		1939.650000	9  -1
1009.204000	Does Not	Exist	3019.000000	-1  0		2009.796000	-1  0
Possible line matches for the gamma energy 1311.84 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1311.039000	Does Not	Exist	2199.200000	-1  0		888.161000	2  1
1311.637000	Does Not	Exist	2494.400000	0  1		1182.763000	5  1
1312.722000	Does Not	Exist	2670.650000	12  -1		1357.928000	3  -1
1312.310000	Does Not	Exist	2802.700000	0  1		1490.390000	7  1
1311.336000	Does Not	Exist	2847.000000	7  1		1535.664000	4  1
1312.736000	Does Not	Exist	2848.400000	-1  0		1535.664000	4  1
1312.804000	Does Not	Exist	2950.000000	-1  0		1637.196000	1  -1
1312.080000	Does Not	Exist	2950.000000	-1  0		1637.920000	7  -1
1311.982000	Does Not	Exist	3040.300000	-1  0		1728.318000	2  1
Possible line matches for the gamma energy 1757.14 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1757.209000	Does Not	Exist	2818.200000	-1  0		1060.991000	4  1
1757.637000	Does Not	Exist	2940.400000	-1  0		1182.763000	5  1
Possible line matches for the gamma energy 1773.53 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1773.794000	Does Not	Exist	3070.800000	-1  0		1297.006000	4  -1
Possible line matches for the gamma energy 1787.08 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1787.877000	  0.328600	  0.000890	2053.541000	5  -1		265.664000	4  1
1787.620000	Does Not	Exist	2708.900000	-1  0		921.280000	8  1
1787.860000	Does Not	Exist	2750.800000	-1  0		962.940000	3  1
1787.409000	Does Not	Exist	2848.400000	-1  0		1060.991000	4  1
1786.318000	Does Not	Exist	2934.550000	14  1		1148.232000	2  -1
1786.911000	Does Not	Exist	2997.000000	-1  0		1210.089000	3  -1
Possible line matches for the gamma energy 347.375 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
347.364000	  0.837000	  0.011980	1530.127000	6  -1		1182.763000	5  1
347.579000	Does Not	Exist	1833.250000	5  -1		1485.671000	5  -1
347.923000	Does Not	Exist	1878.050000	9  1		1530.127000	6  -1
348.045000	Does Not	Exist	1982.460000	2  1		1634.415000	5  1
347.960000	Does Not	Exist	1985.880000	8  1		1637.920000	7  -1
347.980000	Does Not	Exist	2102.800000	3  -1		1754.820000	7  -1
346.817000	Does Not	Exist	2129.497000	2  1		1782.680000	2  1
347.857000	Does Not	Exist	2174.610000	-1  0		1826.753000	4  -1
347.750000	Does Not	Exist	2181.000000	4  1		1833.250000	5  -1
347.389000	Does Not	Exist	2199.200000	-1  0		1851.811000	4  -1
347.760000	Does Not	Exist	2211.590000	9  1		1863.830000	2  -1
347.360000	Does Not	Exist	2234.180000	10  -1		1886.820000	4  1
346.510000	Does Not	Exist	2234.180000	10  -1		1887.670000	7  1
347.699000	Does Not	Exist	2299.090000	-1  0		1951.391000	-1  0
347.702000	Does Not	Exist	2311.300000	-1  0		1963.598000	5  -1
348.100000	Does Not	Exist	2348.800000	-1  0		2000.700000	-1  0
347.850000	Does Not	Exist	2394.850000	1  1		2047.000000	-1  0
347.310000	Does Not	Exist	2413.100000	-1  0		2065.790000	-1  0
347.870000	Does Not	Exist	2427.900000	-1  0		2080.030000	-1  0
348.320000	Does Not	Exist	2451.800000	-1  0		2103.480000	2  1
348.300000	Does Not	Exist	2459.000000	-1  0		2110.700000	10  -1
346.400000	Does Not	Exist	2459.000000	-1  0		2112.600000	-1  0
347.000000	Does Not	Exist	2510.300000	-1  0		2163.300000	-1  0
347.690000	Does Not	Exist	2537.400000	1  0		2189.710000	2  1
348.300000	Does Not	Exist	2551.300000	-1  0		2203.000000	8  1
346.800000	Does Not	Exist	2554.300000	-1  0		2207.500000	-1  0
