Possible line matches for the gamma energy 258.158 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1773.794000	Does Not	Exist	3070.800000	1  0		1297.006000	4  -1
Possible line matches for the gamma energy 1787.08 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1787.409000	Does Not	Exist	2848.400000	1  0		1060.991000	4  1
1786.911000	Does Not	Exist	2997.000000	1  0		1210.089000	3  -1
Possible line matches for the gamma energy 347.375 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
347.364000	  0.837000	  0.011980	1530.127000	6  -1		1182.763000	5  1
347.579000	Does Not	Exist	1833.250000	5  -1		1485.671000	5  -1
347.857000	Does Not	Exist	2174.610000	1  0		1826.753000	4  -1
347.750000	Does Not	Exist	2181.000000	4  1		1833.250000	5  -1
347.389000	Does Not	Exist	2199.200000	1  0		1851.811000	4  -1
347.760000	Does Not	Exist	2211.590000	9  1		1863.830000	2  -1
347.360000	Does Not	Exist	2234.180000	0  -1		1886.820000	4  1
347.699000	Does Not	Exist	2299.090000	1  0		1951.391000	1  0
347.702000	Does Not	Exist	2311.300000	1  0		1963.598000	5  -1
347.850000	Does Not	Exist	2394.850000	1  1		2047.000000	1  0
347.310000	Does Not	Exist	2413.100000	1  0		2065.790000	1  0
347.870000	Does Not	Exist	2427.900000	1  0		2080.030000	1  0
347.000000	Does Not	Exist	2510.300000	1  0		2163.300000	1  0
347.690000	Does Not	Exist	2537.400000	1  0		2189.710000	2  1
347.800000	Does Not	Exist	2617.300000	1  0		2269.500000	1  0
347.000000	Does Not	Exist	2623.000000	6  1		2276.000000	1  0
347.600000	Does Not	Exist	2630.600000	1  0		2283.000000	5  1
346.900000	Does Not	Exist	2718.200000	1  0		2371.300000	1  0
347.350000	Does Not	Exist	2742.200000	1  0		2394.850000	1  1
347.400000	Does Not	Exist	2750.800000	1  0		2403.400000	1  0
347.700000	Does Not	Exist	2768.700000	1  0		2421.000000	6  1
